VARIABLE,CATEGORY,EXPOSED_TRUE,EXPOSED_FALSE,TOTAL,STAT_TYPE
N,,222095,156587,378682,n
SEX,Female," 91,977 (41.4%)","77,870 (49.7%)","169,847 (44.9%)",n_pct
SEX,Male,"130,118 (58.6%)","78,717 (50.3%)","208,835 (55.1%)",n_pct
AGE_AT_INDEX (years),median (IQR),14.0 (8.0-17.0),11.0 (6.0-15.0),13.0 (7.0-16.0),median_iqr
AGE_AT_2016 (years),median (IQR),11.0 (5.0-14.0),8.0 (3.0-12.0),9.0 (4.0-13.0),median_iqr
"Age at first CT (years, exposed only)",median (IQR),14.0 (8.0-17.0),NA,14.0 (8.0-17.0),median_iqr
FIRST_CT_AGE_GROUP,0-5,"37,995 (17.1%)",      0 (0.0%)," 37,995 (10.0%)",n_pct
FIRST_CT_AGE_GROUP,11-15,"65,113 (29.3%)",      0 (0.0%)," 65,113 (17.2%)",n_pct
FIRST_CT_AGE_GROUP,16-18,"81,279 (36.6%)",      0 (0.0%)," 81,279 (21.5%)",n_pct
FIRST_CT_AGE_GROUP,6-10,"37,708 (17.0%)",      0 (0.0%)," 37,708 (10.0%)",n_pct
FIRST_CT_AGE_GROUP,Missing,     0 (0.0%),"156,587 (100.0%)","156,587 (41.4%)",n_pct
"Age at malignancy diagnosis (years, events only)",median (IQR),20.0 (16.0-22.0),16.0 (11.0-20.0),19.0 (15.0-21.0),median_iqr
AGE_AT_DIAGNOSIS_GROUP,0-5,     10 (0.0%),      5 (0.0%),     15 (0.0%),n_pct
AGE_AT_DIAGNOSIS_GROUP,11-15,     36 (0.0%),     20 (0.0%),     56 (0.0%),n_pct
AGE_AT_DIAGNOSIS_GROUP,16-20,     93 (0.0%),     22 (0.0%),    115 (0.0%),n_pct
AGE_AT_DIAGNOSIS_GROUP,21+,    104 (0.0%),     15 (0.0%),    119 (0.0%),n_pct
AGE_AT_DIAGNOSIS_GROUP,6-10,     13 (0.0%),      9 (0.0%),     22 (0.0%),n_pct
AGE_AT_DIAGNOSIS_GROUP,Missing,"221,839 (99.9%)","156,516 (100.0%)","378,355 (99.9%)",n_pct
INCOME_Q,Missing,"41,437 (18.7%)","29,736 (19.0%)"," 71,173 (18.8%)",n_pct
INCOME_Q,Q1,"91,483 (41.2%)","61,508 (39.3%)","152,991 (40.4%)",n_pct
INCOME_Q,Q2,"11,314 (5.1%)"," 7,428 (4.7%)"," 18,742 (4.9%)",n_pct
INCOME_Q,Q3,"40,970 (18.4%)","29,774 (19.0%)"," 70,744 (18.7%)",n_pct
INCOME_Q,Q4,"36,891 (16.6%)","28,141 (18.0%)"," 65,032 (17.2%)",n_pct
URBAN_STATUS,Metro," 55,763 (25.1%)","39,673 (25.3%)"," 95,436 (25.2%)",n_pct
URBAN_STATUS,Missing," 42,380 (19.1%)","30,420 (19.4%)"," 72,800 (19.2%)",n_pct
URBAN_STATUS,Non-Metro,"123,952 (55.8%)","86,494 (55.2%)","210,446 (55.6%)",n_pct
FIRST_CT_SETTING,Clinic," 57,178 (25.7%)",      0 (0.0%)," 57,178 (15.1%)",n_pct
FIRST_CT_SETTING,ER,"164,917 (74.3%)",      0 (0.0%),"164,917 (43.6%)",n_pct
FIRST_CT_SETTING,Missing,      0 (0.0%),"156,587 (100.0%)","156,587 (41.4%)",n_pct
FIRST_CT_TYPE,Missing,      0 (0.0%),"156,587 (100.0%)","156,587 (41.4%)",n_pct
FIRST_CT_TYPE,body_type,"222,095 (100.0%)",      0 (0.0%),"222,095 (58.6%)",n_pct
N_CT_GROUP,1,"174,907 (78.8%)",      0 (0.0%),"174,907 (46.2%)",n_pct
N_CT_GROUP,2-3," 41,875 (18.9%)",      0 (0.0%)," 41,875 (11.1%)",n_pct
N_CT_GROUP,>=4,"  5,313 (2.4%)",      0 (0.0%),"  5,313 (1.4%)",n_pct
N_CT_GROUP,Missing,      0 (0.0%),"156,587 (100.0%)","156,587 (41.4%)",n_pct
Malignancy events,,256 (0.12%),71 (0.05%),327 (0.09%),n_pct
Person-years,,"679,968","488,568","1,168,536",n
