MALIGNANCY_TYPE,N_EVENT_TRUE,N_TOTAL_TRUE,N_EVENT_FALSE,N_TOTAL_FALSE,RR,CI_LO,CI_HI,P_VALUE
chest_and_lung,17,198855,76,5291254,5.951924636967693,3.51794972239681,10.069901414056414,2.9587255777151485e-11
intestinal,19,198855,178,5291254,2.8402442748781715,1.769799614860395,4.55813611509604,1.5224413307526421e-5
breast_and_female,20,198855,196,5291254,2.715163699937243,1.7139267482237897,4.3013004640349495,2.086977091706571e-5
head_and_neck,18,198855,195,5291254,2.456178854712459,1.5155823231118086,3.9805258179245393,2.643128382733667e-4
urinary_and_fertile,17,198855,208,5291254,2.1747416942766566,1.3264625528283973,3.5654994004471923,0.002069877157914088
cnt,24,198855,340,5291254,1.878254418309528,1.2416037679526468,2.8413570826355703,0.0028388251969551016
other_malignant_tumor,10,198855,166,5291254,1.60292796743283,0.8467458792976785,3.034414611984269,0.1473121049068004
brain_and_cns,23,198855,404,5291254,1.5148462820936994,0.9951887543651494,2.305853284924804,0.052684172278903284
bone,10,198855,210,5291254,1.2670763933040463,0.6718876735933895,2.3895104041453066,0.4645607823429411
lymphoma_and_leukemia,74,198855,1616,5291254,1.2184633138579757,0.9652479834172955,1.5381051012006264,0.09642962876487891
endocrine,21,198855,480,5291254,1.1641264363480928,0.7520374910381882,1.8020250000218327,0.49542714880937183
