MALIGNANCY_TYPE,N_EVENT_FALSE,N_EVENT_TRUE,N_TOTAL_TRUE,N_TOTAL_FALSE,RR
bone,210,10,198855,5291254,1.2670763933040465
brain_and_cns,404,23,198855,5291254,1.5148462820936994
breast_and_female,196,20,198855,5291254,2.715163699937243
chest_and_lung,76,17,198855,5291254,5.951924636967693
cnt,340,24,198855,5291254,1.8782544183095278
endocrine,480,21,198855,5291254,1.1641264363480928
head_and_neck,195,18,198855,5291254,2.4561788547124594
intestinal,178,19,198855,5291254,2.8402442748781715
lymphoma_and_leukemia,1616,74,198855,5291254,1.2184633138579757
other_malignant_tumor,166,10,198855,5291254,1.60292796743283
urinary_and_fertile,208,17,198855,5291254,2.1747416942766566
